Site Name,Minimum,Maximum,Average
GW 23579 - Eden,12.727,18.379,14.971
GW 14 - Bells Island,-0.621,2.841,0.958
GW 255 - E Rabbit Island,-0.415,2.854,0.907
GW 119 - Chipmill,-4.945,5.213,1.909
GW 105 - Rail Reserve,13.690,22.025,19.199
GW 1129 - Ferguson,33.314,35.816,33.843
GW 1069 - McCliskie,1.802,4.502,2.625
GW 1128 - McKenzie,29.013,31.871,29.475
GW 375 - Halls 2,18.279,22.896,19.570
GW 22160 - Lwr Queen St,0.965,3.711,1.484
GW 23518 - Richardson,36.315,38.222,36.969
GW 247 - Hinton,40.800,44.575,42.105
GW 23953 - Redwood Rd,0.966,2.343,1.323
GW 23367 - Challies 2,7.084,10.836,7.932
GW 98 - CW2,4.024,7.980,5.273
GW 24010 - Frys,196.319,198.469,196.943
GW 4619 - Vue Mount,136.962,139.175,137.728
GW 4617 - Hyatt,155.388,157.617,156.135
GW 4616 - Crimp,178.971,181.992,180.336
GW 4614 - Norths Bridge,203.387,204.954,203.759
GW 2603 - Wratt,7.613,12.023,8.727
GW 2607 - Riwaka Hall,1.569,4.553,2.511
GW 2628 - Staples St,1.052,2.706,1.552
GW 2629 - Lodder Lane,0.735,2.236,1.196
GW 2609 - Horrell,0.518,4.928,1.904
GW 24601 - Quayle St,0.482,1.220,0.823
GW 2601 - Rossiter,1.964,6.305,3.415
GW 23548 - Greenwood St,1.052,2.912,1.638
GW 23547 - Anderson Rd,4.685,8.864,6.394
GW 2181 - Nurs Sth,2.412,5.519,3.245
GW 2176 - Nursery North 2,1.916,5.544,3.298
GW 2164 - River Bed,2.997,7.148,3.621
GW 21185 - Inglis,2.942,5.163,3.367
GW 20992 - Marchwood Park,1.954,6.283,3.340
GW 20864 - Golf Course,0.236,2.454,1.163
GW 2166 - Tui Close,0.842,2.227,1.289
GW 23663 - Drummond Rd,31.068,48.546,42.238
GW 8107 - Sarau,69.825,71.550,70.752
GW 8110 - Weka Rd,20.773,24.479,21.837
GW 8435 - Palmer,-0.766,11.072,8.389
GW 24040 - OConnor,5.044,6.087,5.522
GW 8109 - Stringer Rd,15.821,17.478,16.736
GW 8108 - Redwood Lane,24.953,27.128,26.340
GW 24035 - Mapua,3.253,4.414,3.793
GW 23648 - Takaka Fire 2,6.528,9.617,7.157
GW 6339 - TDC Office,6.222,9.090,6.817
GW 6713 - Savages,20.944,52.013,33.574
GW 6013 - Pupu Main Spring,14.327,17.550,15.762
GW 6912 - Sowmans,19.193,50.567,37.708
GW 24431 - Swamp Rd,2.589,5.197,3.426
GW 24432 - Wigzell Rd,8.006,10.162,8.667
GW 24433 - Kaituna,11.443,13.945,12.149
GW 2188 - Nursery SE,2.141,4.931,2.760
GW 2177 - Nursery North 3,2.424,5.300,3.204
